asset	exit	iou	mae	edge_f1	jaggedness	staircase	agreement_iou	svg_bytes
computer-icon.low	0	0.9535	0.0	0.9511	4.0914	None	0.7316	3000
gear-icon.low	0	0.953	0.0	0.9924	2.2964	None	0.8282	1925
controller-icon.low	0	0.9552	0.0	0.9737	1.6004	None	0.8459	1589
wrench-icon.low	0	0.9539	0.0	0.9882	1.6689	None	0.8885	1118
computer-icon.destroyed	1	-	-	-	-	-	-	-
rubytech-mark.low	0	0.9643	11.8023	0.9075	7.0695	None	0.8853	31122
wrench-icon.alpha	0	0.9666	0.0	0.9505	4.1545	0.1054	0.909	2141
wrench-icon.alpha.gaussian	0	0.9614	0.0	0.9059	7.5467	0.1367	0.9092	2078
wrench-icon.alpha.stepped	1	0.979	0.0	0.994	6.7633	0.4065	-	2690
controller-icon.alpha.small	0	0.9573	0.0	0.9463	1.0822	0.1962	0.7973	1774
controller-icon.alpha.small.gaussian	1	0.9323	0.0	0.7349	1.095	0.1239	-	989
